drugId,HRCHY_1,HRCHY_2,HRCHY_3,HRCHY_4,HRCHY_5,HRCHY_6
21641,Unidentified pharmacological activity,PS-938285,,,,
22807,Unidentified pharmacological activity,"Prosaptide TX14(A), Savient",,,,
23482,Unidentified pharmacological activity,TBI-302,,,,
23855,Unidentified pharmacological activity,SNEC-2,,,,
24084,Unidentified pharmacological activity,FP-1096,,,,
24137,Unidentified pharmacological activity,MPC-9055,,,,
24179,Unidentified pharmacological activity,AVI-4065,,,,
24275,Unidentified pharmacological activity,OC-1012,,,,
24448,Unidentified pharmacological activity,PH-284,,,,
24452,Unidentified pharmacological activity,aloradine,,,,
24500,Unidentified pharmacological activity,AGIX-4207,,,,
24605,Unidentified pharmacological activity,"antiviral iminosugars, UT",,,,
24607,Unidentified pharmacological activity,SCD-UKG,,,,
25406,Unidentified pharmacological activity,"pentoxifylline, ExonHit",,,,
25497,Unidentified pharmacological activity,"triacetyluridine, RepliGen",,,,
25507,Unidentified pharmacological activity,TAK-201,,,,
25638,Unidentified pharmacological activity,BAY-76-7171,,,,
25738,Unidentified pharmacological activity,HMR-1426,,,,
25755,Unidentified pharmacological activity,Y-128,,,,
25857,Unidentified pharmacological activity,EHC-18,,,,
26640,Unidentified pharmacological activity,PLD-177,,,,
26657,Unidentified pharmacological activity,pidilizumab,,,,
26723,Unidentified pharmacological activity,17-ß-hydroxyepiandrosterone,,,,
26727,Unidentified pharmacological activity,ANPH-101,,,,
26728,Unidentified pharmacological activity,ANPH-102,,,,
26835,Unidentified pharmacological activity,SGS-111,,,,
26853,Unidentified pharmacological activity,uromitexan,,,,
27034,Unidentified pharmacological activity,sodium tungstate,,,,
27208,Unidentified pharmacological activity,INGAP peptide,,,,
27278,Unidentified pharmacological activity,SLV-341,,,,
27580,Unidentified pharmacological activity,L-alanosine,,,,
27660,Unidentified pharmacological activity,QR-333,,,,
27666,Unidentified pharmacological activity,"alpha-ketoglutaric acid,Gramineer",,,,
27809,Unidentified pharmacological activity,AI-128,,,,
27942,Unidentified pharmacological activity,1954,,,,
27981,Unidentified pharmacological activity,WS-1442,,,,
28282,Unidentified pharmacological activity,Immunol,,,,
28596,Unidentified pharmacological activity,PI-166,,,,
28884,Unidentified pharmacological activity,"ethyl pyruvate, Cornerstone",,,,
28900,Unidentified pharmacological activity,AVI-4020,,,,
29024,Unidentified pharmacological activity,AZD-9343,,,,
29041,Unidentified pharmacological activity,pegargiminase,,,,
29053,Unidentified pharmacological activity,faxeladol,,,,
29054,Unidentified pharmacological activity,axomadol,,,,
29165,Unidentified pharmacological activity,AGN-0001,,,,
29197,Unidentified pharmacological activity,AVP-13358,,,,
29255,Unidentified pharmacological activity,SPD-465,,,,
29256,Unidentified pharmacological activity,SPD-483,,,,
29297,Unidentified pharmacological activity,R-1204,,,,
29300,Unidentified pharmacological activity,R-1068,,,,
29325,Unidentified pharmacological activity,KS-01-017,,,,
29412,Unidentified pharmacological activity,SL-052,,,,
29641,Unidentified pharmacological activity,NPI-32101,,,,
29643,Unidentified pharmacological activity,Z-104657A,,,,
29644,Unidentified pharmacological activity,intralabyrinthine,,,,
29723,Unidentified pharmacological activity,QC-BT16,,,,
29732,Unidentified pharmacological activity,"TS-011, Captisol",,,,
29764,Unidentified pharmacological activity,"LG-617 inhibitors, Lexicon",,,,
29864,Unidentified pharmacological activity,reloxaliase,,,,
29928,Unidentified pharmacological activity,"hydroxychloroquine,aerosol, APT",,,,
30076,Unidentified pharmacological activity,HE-2100,,,,
30139,Unidentified pharmacological activity,AVT-03,,,,
30148,Unidentified pharmacological activity,NS-9,,,,
30483,Unidentified pharmacological activity,ribaxamase,,,,
30488,Unidentified pharmacological activity,substance P-saporin,,,,
30504,Unidentified pharmacological activity,R-1454,,,,
30533,Unidentified pharmacological activity,PH-15,,,,
30536,Unidentified pharmacological activity,"PH-10, VistaGen",,,,
30560,Unidentified pharmacological activity,PW-4103,,,,
30590,Unidentified pharmacological activity,LG-474,,,,
30630,Unidentified pharmacological activity,RAV12,,,,
30634,Unidentified pharmacological activity,Provecta,,,,
30636,Unidentified pharmacological activity,"PH-10, Provectus",,,,
30688,Unidentified pharmacological activity,"maltose, Amarillo",,,,
30719,Unidentified pharmacological activity,transcrocetinate sodium,,,,
30748,Unidentified pharmacological activity,rAAV2-CB-hRPE65,,,,
30755,Unidentified pharmacological activity,c-3347,,,,
30756,Unidentified pharmacological activity,c-4462,,,,
30757,Unidentified pharmacological activity,c-8834,,,,
30760,Unidentified pharmacological activity,c-2735,,,,
30768,Unidentified pharmacological activity,c-3193,,,,
30785,Unidentified pharmacological activity,"amoxapine + prednisolone, Comb",,,,
30828,Unidentified pharmacological activity,LL-3348,,,,
30834,Unidentified pharmacological activity,LLL-2011,,,,
30877,Unidentified pharmacological activity,"nortriptyline+prednisolone,Com",,,,
30882,Unidentified pharmacological activity,"prednisolone + dipyridamole, CombinatoRx",,,,
30950,Unidentified pharmacological activity,OP-145,,,,
30976,Unidentified pharmacological activity,ED-4914,,,,
31028,Unidentified pharmacological activity,KPE-02003002,,,,
31065,Unidentified pharmacological activity,R-1485,,,,
31081,Unidentified pharmacological activity,R-1499,,,,
31093,Unidentified pharmacological activity,R-1500,,,,
31151,Unidentified pharmacological activity,"2-deoxyglucose, Threshold",,,,
31156,Unidentified pharmacological activity,"AT-001, Synthetic Biologics",,,,
31181,Unidentified pharmacological activity,SIM-916,,,,
31216,Unidentified pharmacological activity,"Pro-1 gene therapy, Protiva",,,,
31344,Unidentified pharmacological activity,CLR-3001,,,,
31452,Unidentified pharmacological activity,Aimspro,,,,
31469,Unidentified pharmacological activity,phenazopyridine hydrochloride,,,,
31483,Unidentified pharmacological activity,Zindol,,,,
31588,Unidentified pharmacological activity,TD-1414,,,,
31603,Unidentified pharmacological activity,KTX-0101,,,,
31883,Unidentified pharmacological activity,SYN-1002,,,,
31964,Unidentified pharmacological activity,abafungin,,,,
32116,Unidentified pharmacological activity,CRD-102,,,,
32117,Unidentified pharmacological activity,CRD-101,,,,
32172,Unidentified pharmacological activity,BDD-10103,,,,
32245,Unidentified pharmacological activity,MQX-5855,,,,
32274,Unidentified pharmacological activity,OC-4,,,,
32301,Unidentified pharmacological activity,4-demethylpenclomedine,,,,
32352,Unidentified pharmacological activity,Ruzam,,,,
32366,Unidentified pharmacological activity,"zeatin, Senetek",,,,
32409,Unidentified pharmacological activity,EN-122004,,,,
32478,Unidentified pharmacological activity,P1A,,,,
32539,Unidentified pharmacological activity,BGC-20-0134,,,,
32683,Unidentified pharmacological activity,"latrunculin B, Inspire",,,,
32736,Unidentified pharmacological activity,DDP-4,,,,
32967,Unidentified pharmacological activity,c-7198,,,,
32968,Unidentified pharmacological activity,c-9101,,,,
32969,Unidentified pharmacological activity,c-9787,,,,
32975,Unidentified pharmacological activity,c-3578,,,,
32977,Unidentified pharmacological activity,c-8928,,,,
32981,Unidentified pharmacological activity,c-6740,,,,
32990,Unidentified pharmacological activity,TKS-1225,,,,
33221,Unidentified pharmacological activity,R-1664,,,,
33270,Unidentified pharmacological activity,Virostat,,,,
33273,Unidentified pharmacological activity,topsalysin,,,,
33447,Unidentified pharmacological activity,TV-3606,,,,
33467,Unidentified pharmacological activity,naltalimide,,,,
33552,Unidentified pharmacological activity,DA-9102,,,,
33729,Unidentified pharmacological activity,AN-0128,,,,
33740,Unidentified pharmacological activity,BIO-111,,,,
33752,Unidentified pharmacological activity,BIO-140,,,,
33861,Unidentified pharmacological activity,auriclosene,,,,
33872,Unidentified pharmacological activity,IXT-m200,,,,
33904,Unidentified pharmacological activity,AT-007,,,,
33980,Unidentified pharmacological activity,SD-118,,,,
33984,Unidentified pharmacological activity,"osteoarthritis implant, pSivid",,,,
34187,Unidentified pharmacological activity,VX-001,,,,
34246,Unidentified pharmacological activity,VTP-201227,,,,
34265,Unidentified pharmacological activity,ASF-1075,,,,
34281,Unidentified pharmacological activity,"N-palmitoylethanolamide, Stief",,,,
34339,Unidentified pharmacological activity,ER-004,,,,
34415,Unidentified pharmacological activity,RLP-068,,,,
34453,Unidentified pharmacological activity,MAHDL-01,,,,
34506,Unidentified pharmacological activity,elisidepsin,,,,
34509,Unidentified pharmacological activity,QAN-747,,,,
34511,Unidentified pharmacological activity,QAK-423,,,,
34584,Unidentified pharmacological activity,EMD-387008,,,,
34758,Unidentified pharmacological activity,RPI-70,,,,
34805,Unidentified pharmacological activity,Aes-103,,,,
34819,Unidentified pharmacological activity,FAR-404,,,,
34892,Unidentified pharmacological activity,VSF-173,,,,
34924,Unidentified pharmacological activity,MK-0759,,,,
34928,Unidentified pharmacological activity,MK-0634,,,,
34937,Unidentified pharmacological activity,MK-0454,,,,
34944,Unidentified pharmacological activity,MK-0994,,,,
34968,Unidentified pharmacological activity,ALS-02,,,,
34989,Unidentified pharmacological activity,PR-104,,,,
35023,Unidentified pharmacological activity,AZD-1305,,,,
35029,Unidentified pharmacological activity,AZD-3783,,,,
35040,Unidentified pharmacological activity,R-1647,,,,
35059,Unidentified pharmacological activity,AQ-13,,,,
35060,Unidentified pharmacological activity,PS-386113,,,,
35071,Unidentified pharmacological activity,DRF-2546,,,,
35204,Unidentified pharmacological activity,"acetylcysteine, Cumberland Pharmaceuticals",,,,
35374,Unidentified pharmacological activity,TAK-583,,,,
35385,Unidentified pharmacological activity,LPCN-1029,,,,
35389,Unidentified pharmacological activity,LPCN-1035,,,,
35390,Unidentified pharmacological activity,LPCN-1010,,,,
35391,Unidentified pharmacological activity,SMP-028,,,,
35399,Unidentified pharmacological activity,AAB-002,,,,
35431,Unidentified pharmacological activity,SLV-334,,,,
35566,Unidentified pharmacological activity,MuGard,,,,
35572,Unidentified pharmacological activity,PS-948115,,,,
35613,Unidentified pharmacological activity,HMPL-002,,,,
35639,Unidentified pharmacological activity,SPHP-700,,,,
35659,Unidentified pharmacological activity,XEN-401,,,,
35666,Unidentified pharmacological activity,Lu-AA-34893,,,,
35670,Unidentified pharmacological activity,SNX-1012,,,,
35721,Unidentified pharmacological activity,DNB-001,,,,
35745,Unidentified pharmacological activity,Z-207,,,,
35762,Unidentified pharmacological activity,SB-221,,,,
35763,Unidentified pharmacological activity,STA-36,,,,
35765,Unidentified pharmacological activity,STD-07,,,,
35787,Unidentified pharmacological activity,MPL-TLB100,,,,
35814,Unidentified pharmacological activity,"levoleucovorin calcium, Spectrum",,,,
35934,Unidentified pharmacological activity,ordopidine,,,,
35935,Unidentified pharmacological activity,YKP-581,,,,
35945,Unidentified pharmacological activity,AJD-101,,,,
36084,Unidentified pharmacological activity,"PB6, Kemin",,,,
36087,Unidentified pharmacological activity,MK-3887,,,,
36103,Unidentified pharmacological activity,DA-9201,,,,
36104,Unidentified pharmacological activity,DA-9701,,,,
36120,Unidentified pharmacological activity,AGG-523,,,,
36250,Unidentified pharmacological activity,"sodium sulfide, Ikaria",,,,
36434,Unidentified pharmacological activity,BP-C2,,,,
36435,Unidentified pharmacological activity,BP-C127,,,,
36436,Unidentified pharmacological activity,BP-C132,,,,
36437,Unidentified pharmacological activity,BP-C100,,,,
36438,Unidentified pharmacological activity,BP-C110S,,,,
36481,Unidentified pharmacological activity,MIST-B02,,,,
36482,Unidentified pharmacological activity,MIST-B03,,,,
36500,Unidentified pharmacological activity,ICT-107,,,,
36547,Unidentified pharmacological activity,BCT-194,,,,
36550,Unidentified pharmacological activity,QAL-964,,,,
36554,Unidentified pharmacological activity,BEA-2180 BR,,,,
36583,Unidentified pharmacological activity,metaxalone,,,,
36587,Unidentified pharmacological activity,Actelion-9,,,,
36639,Unidentified pharmacological activity,PRO-98498,,,,
36641,Unidentified pharmacological activity,ASK-8007,,,,
36663,Unidentified pharmacological activity,CP-866087,,,,
36668,Unidentified pharmacological activity,PF-431499,,,,
36672,Unidentified pharmacological activity,PF-3052334,,,,
36673,Unidentified pharmacological activity,PF-3274167,,,,
36675,Unidentified pharmacological activity,emricasen,,,,
36676,Unidentified pharmacological activity,PF-807925,,,,
36683,Unidentified pharmacological activity,PF-755616,,,,
36687,Unidentified pharmacological activity,PF-708093,,,,
36711,Unidentified pharmacological activity,CP-903397,,,,
36731,Unidentified pharmacological activity,PF-572778,,,,
36750,Unidentified pharmacological activity,"carbon dioxide (intranasal), Capnia",,,,
36764,Unidentified pharmacological activity,PF-2400013,,,,
36815,Unidentified pharmacological activity,MK-6213,,,,
36817,Unidentified pharmacological activity,MK-2637,,,,
36818,Unidentified pharmacological activity,MK-5757,,,,
36850,Unidentified pharmacological activity,ALS-05,,,,
36851,Unidentified pharmacological activity,ALS-08,,,,
36858,Unidentified pharmacological activity,BIBW-2948 BS,,,,
36897,Unidentified pharmacological activity,"lithium carbonate, Noven",,,,
36899,Unidentified pharmacological activity,"Lithium QD, Noven",,,,
36949,Unidentified pharmacological activity,H-100,,,,
36959,Unidentified pharmacological activity,IDN-5243,,,,
36969,Unidentified pharmacological activity,NK-292,,,,
37067,Unidentified pharmacological activity,AST-915,,,,
37069,Unidentified pharmacological activity,SPD-491,,,,
37070,Unidentified pharmacological activity,SPD-535,,,,
37113,Unidentified pharmacological activity,GI-6200,,,,
37126,Unidentified pharmacological activity,"enterostatin, Harkness",,,,
37153,Unidentified pharmacological activity,etheophazine,,,,
37188,Unidentified pharmacological activity,NSL-101,,,,
37329,Unidentified pharmacological activity,PRA-027,,,,
37331,Unidentified pharmacological activity,ILS-920,,,,
37334,Unidentified pharmacological activity,PPM-201,,,,
37335,Unidentified pharmacological activity,PPM-202,,,,
37420,Unidentified pharmacological activity,OVI-117,,,,
37477,Unidentified pharmacological activity,MK-0719,,,,
37490,Unidentified pharmacological activity,primidone,,,,
37503,Unidentified pharmacological activity,"valproate, Neuropharm",,,,
37507,Unidentified pharmacological activity,MTL-005,,,,
37643,Unidentified pharmacological activity,SLC-022,,,,
37707,Unidentified pharmacological activity,URG-302,,,,
37948,Unidentified pharmacological activity,Melokinex,,,,
37957,Unidentified pharmacological activity,KPE-06001,,,,
37963,Unidentified pharmacological activity,KPE-02001003,,,,
37974,Unidentified pharmacological activity,"K-201, Moberg",,,,
38071,Unidentified pharmacological activity,XP-28,,,,
38097,Unidentified pharmacological activity,PMI-5011,,,,
38099,Unidentified pharmacological activity,BAY-73-7977,,,,
38112,Unidentified pharmacological activity,APD-405,,,,
38122,Unidentified pharmacological activity,B27PD,,,,
38171,Unidentified pharmacological activity,PPA-904,,,,
38172,Unidentified pharmacological activity,PPA-905,,,,
38232,Unidentified pharmacological activity,SKP-1032,,,,
38264,Unidentified pharmacological activity,Resolvin-E1,,,,
38280,Unidentified pharmacological activity,CXL-1020,,,,
38281,Unidentified pharmacological activity,AP-1126,,,,
38338,Unidentified pharmacological activity,BMS-686117,,,,
38341,Unidentified pharmacological activity,Prodarsan,,,,
38373,Unidentified pharmacological activity,AL-37807,,,,
38398,Unidentified pharmacological activity,AZD-5099,,,,
38426,Unidentified pharmacological activity,Granexin,,,,
38448,Unidentified pharmacological activity,ZYI1,,,,
38457,Unidentified pharmacological activity,PF-3392455,,,,
38492,Unidentified pharmacological activity,GRT-6001,,,,
38507,Unidentified pharmacological activity,SKL-NP,,,,
38519,Unidentified pharmacological activity,ALTY-0601,,,,
38521,Unidentified pharmacological activity,"cyclobenzaprine HCl, Aptalis",,,,
38531,Unidentified pharmacological activity,SGT-RB94,,,,
38543,Unidentified pharmacological activity,SH-U04722,,,,
38577,Unidentified pharmacological activity,SK-PC-B70M,,,,
38588,Unidentified pharmacological activity,BMEC-1217B,,,,
38591,Unidentified pharmacological activity,CP-4200,,,,
38594,Unidentified pharmacological activity,alalevonadifloxacin,,,,
38675,Unidentified pharmacological activity,"ZP, Pantarhei",,,,
38686,Unidentified pharmacological activity,DW-167,,,,
38733,Unidentified pharmacological activity,"Endo-OC, Pantarhei",,,,
38736,Unidentified pharmacological activity,"VITS, Pantarhei",,,,
38748,Unidentified pharmacological activity,IM-ASN,,,,
38775,Unidentified pharmacological activity,MK-1642,,,,
38789,Unidentified pharmacological activity,JNJ-26990990,,,,
38790,Unidentified pharmacological activity,MK-8998,,,,
38811,Unidentified pharmacological activity,"sodium phenylbutyrate, Tikvah",,,,
38857,Unidentified pharmacological activity,E-2110,,,,
38866,Unidentified pharmacological activity,GSK-580416,,,,
38870,Unidentified pharmacological activity,GW-273225,,,,
38934,Unidentified pharmacological activity,OPC-249,,,,
38952,Unidentified pharmacological activity,PSD-509,,,,
39048,Unidentified pharmacological activity,ISU-201,,,,
39072,Unidentified pharmacological activity,MCS-18,,,,
39120,Unidentified pharmacological activity,"stroke therapy, Choongwae",,,,
39151,Unidentified pharmacological activity,SRD-174,,,,
39227,Unidentified pharmacological activity,"lipoxin, Bayer",,,,
39245,Unidentified pharmacological activity,Betamarc,,,,
39285,Unidentified pharmacological activity,PG-760564,,,,
39372,Unidentified pharmacological activity,c-5997,,,,
39398,Unidentified pharmacological activity,HMPL-001,,,,
39432,Unidentified pharmacological activity,AZD-1279,,,,
39448,Unidentified pharmacological activity,ESP-210,,,,
39506,Unidentified pharmacological activity,STC-387,,,,
39509,Unidentified pharmacological activity,R-209130,,,,
39551,Unidentified pharmacological activity,GW-805858,,,,
39586,Unidentified pharmacological activity,MP-8,,,,
39671,Unidentified pharmacological activity,Vitreosolve,,,,
39672,Unidentified pharmacological activity,Neurosolve,,,,
39705,Unidentified pharmacological activity,AIM-102,,,,
39717,Unidentified pharmacological activity,"Parkinson's therapy, Lilly",,,,
39721,Unidentified pharmacological activity,"osteoporosis therapy, Lilly-1",,,,
39729,Unidentified pharmacological activity,MK-2662,,,,
39730,Unidentified pharmacological activity,MK-1809,,,,
39755,Unidentified pharmacological activity,Amersib,,,,
39782,Unidentified pharmacological activity,MIST-B04,,,,
39844,Unidentified pharmacological activity,REC-0422,,,,
39876,Unidentified pharmacological activity,OMS-201,,,,
39895,Unidentified pharmacological activity,CVBT-141E,,,,
39937,Unidentified pharmacological activity,HQK-1001,,,,
39941,Unidentified pharmacological activity,LEO-29102,,,,
39942,Unidentified pharmacological activity,LEO-22811,,,,
39978,Unidentified pharmacological activity,"urocanic acid derivative, Valletta",,,,
40002,Unidentified pharmacological activity,CS-8080,,,,
40009,Unidentified pharmacological activity,TAK-065,,,,
40011,Unidentified pharmacological activity,JNJ-17166864,,,,
40051,Unidentified pharmacological activity,CNTO-2476,,,,
40100,Unidentified pharmacological activity,"psoriasis MAb, Shanghai",,,,
40135,Unidentified pharmacological activity,REC-1819,,,,
40166,Unidentified pharmacological activity,P-1201-07,,,,
40168,Unidentified pharmacological activity,V-0191,,,,
40186,Unidentified pharmacological activity,PF-4325667,,,,
40187,Unidentified pharmacological activity,PF-2391677,,,,
40192,Unidentified pharmacological activity,PF-3475952,,,,
40193,Unidentified pharmacological activity,PF-2575799,,,,
40202,Unidentified pharmacological activity,PF-4194471,,,,
40234,Unidentified pharmacological activity,"Lm-LLO-PSA vaccine, Advaxis",,,,
40256,Unidentified pharmacological activity,SF-1019,,,,
40272,Unidentified pharmacological activity,NSA-789,,,,
40399,Unidentified pharmacological activity,AL-43546,,,,
40400,Unidentified pharmacological activity,DPK-060,,,,
40409,Unidentified pharmacological activity,EA-230,,,,
40478,Unidentified pharmacological activity,GSI-136,,,,
40484,Unidentified pharmacological activity,ILV-095,,,,
40488,Unidentified pharmacological activity,ERB-257,,,,
40531,Unidentified pharmacological activity,JNJ-26113100,,,,
40545,Unidentified pharmacological activity,NNC-0070-0002-0182,,,,
40563,Unidentified pharmacological activity,RX-10045,,,,
40577,Unidentified pharmacological activity,"human proislet peptide, CureDM",,,,
40585,Unidentified pharmacological activity,"ghrelin, Alize",,,,
40610,Unidentified pharmacological activity,ASP-0265,,,,
40620,Unidentified pharmacological activity,Adhexil,,,,
40642,Unidentified pharmacological activity,LPCN-1012,,,,
40644,Unidentified pharmacological activity,LPCN-1050,,,,
40659,Unidentified pharmacological activity,SCH-900538,,,,
40673,Unidentified pharmacological activity,SPN-805,,,,
40674,Unidentified pharmacological activity,SPN-803,,,,
40675,Unidentified pharmacological activity,SPN-808,,,,
40707,Unidentified pharmacological activity,"abacavir acetate, CellCeutix",,,,
40784,Unidentified pharmacological activity,MGX-008,,,,
40809,Unidentified pharmacological activity,BB-101,,,,
40810,Unidentified pharmacological activity,BB-103,,,,
40815,Unidentified pharmacological activity,BSP-102,,,,
40881,Unidentified pharmacological activity,DBP-232,,,,
40882,Unidentified pharmacological activity,DBP-230,,,,
40886,Unidentified pharmacological activity,DBP-222,,,,
40889,Unidentified pharmacological activity,DBP-167,,,,
40892,Unidentified pharmacological activity,GlutaVIR,,,,
40932,Unidentified pharmacological activity,PH-3,,,,
41047,Unidentified pharmacological activity,IDP-115,,,,
41073,Unidentified pharmacological activity,murepavadin,,,,
41091,Unidentified pharmacological activity,F-598,,,,
41122,Unidentified pharmacological activity,Lactermin,,,,
41221,Unidentified pharmacological activity,IMN-3001,,,,
41267,Unidentified pharmacological activity,NNI-362,,,,
41320,Unidentified pharmacological activity,R-1602,,,,
41362,Unidentified pharmacological activity,LY-2590443,,,,
41447,Unidentified pharmacological activity,KLS-0611,,,,
41448,Unidentified pharmacological activity,"cholic acid, Asklepion",,,,
41449,Unidentified pharmacological activity,GSK-1399686,,,,
41479,Unidentified pharmacological activity,JNJ-26489112,,,,
41490,Unidentified pharmacological activity,NNC-0070-0002-0349,,,,
41509,Unidentified pharmacological activity,M-6040,,,,
41647,Unidentified pharmacological activity,NSI-189,,,,
41700,Unidentified pharmacological activity,PTI-721,,,,
41739,Unidentified pharmacological activity,PP-101,,,,
41801,Unidentified pharmacological activity,MPM-SL-0905,,,,
41806,Unidentified pharmacological activity,SPN-811,,,,
41813,Unidentified pharmacological activity,MPM-FL0507,,,,
41814,Unidentified pharmacological activity,MPM-DM0809,,,,
41876,Unidentified pharmacological activity,DPS-102,,,,
41916,Unidentified pharmacological activity,PHN-121,,,,
41921,Unidentified pharmacological activity,MPM-R14H00,,,,
41930,Unidentified pharmacological activity,M-516102,,,,
41940,Unidentified pharmacological activity,CLL-501,,,,
41941,Unidentified pharmacological activity,CLL-502,,,,
41990,Unidentified pharmacological activity,RGH-790,,,,
41999,Unidentified pharmacological activity,MPM-FB036,,,,
42003,Unidentified pharmacological activity,BI-831266,,,,
42024,Unidentified pharmacological activity,PF-3932295,,,,
42032,Unidentified pharmacological activity,PF-4878691,,,,
42035,Unidentified pharmacological activity,PF-4064900,,,,
42038,Unidentified pharmacological activity,LC-1,,,,
42058,Unidentified pharmacological activity,NS-141,,,,
42070,Unidentified pharmacological activity,SLV-342,,,,
42071,Unidentified pharmacological activity,SLV-337,,,,
42072,Unidentified pharmacological activity,SLV-351,,,,
42114,Unidentified pharmacological activity,NDM-10107,,,,
42129,Unidentified pharmacological activity,NEO-101,,,,
42234,Unidentified pharmacological activity,KP-413,,,,
42246,Unidentified pharmacological activity,"diabetes therapy, NBE, Lilly",,,,
42247,Unidentified pharmacological activity,"obesity therapy, Lilly-2",,,,
42248,Unidentified pharmacological activity,"obesity therapy, NME, Lilly-3",,,,
42250,Unidentified pharmacological activity,"osteoporosis therapy, Lilly-4",,,,
42251,Unidentified pharmacological activity,"obesity therapy, NME, Lilly-4",,,,
42273,Unidentified pharmacological activity,"schizophrenia therapy, Lilly",,,,
42366,Unidentified pharmacological activity,T-9001,,,,
42372,Unidentified pharmacological activity,TXA-127,,,,
42392,Unidentified pharmacological activity,SWC-158,,,,
42415,Unidentified pharmacological activity,IG-RD-001,,,,
42502,Unidentified pharmacological activity,"osteoporosis therapy, Lilly-2",,,,
42516,Unidentified pharmacological activity,PF-04287881,,,,
42538,Unidentified pharmacological activity,HTC-867,,,,
42589,Unidentified pharmacological activity,PF-04629991,,,,
42599,Unidentified pharmacological activity,AMG-674,,,,
42615,Unidentified pharmacological activity,IND02-AR,,,,
42622,Unidentified pharmacological activity,"cis-urocanic acid, emulsion, BioCis",,,,
42673,Unidentified pharmacological activity,MK-8984,,,,
42674,Unidentified pharmacological activity,MK-4101,,,,
42675,Unidentified pharmacological activity,MK-3614,,,,
42677,Unidentified pharmacological activity,MK-5932,,,,
42678,Unidentified pharmacological activity,MK-8368,,,,
42679,Unidentified pharmacological activity,MK-5395,,,,
42680,Unidentified pharmacological activity,MK-1682,,,,
42700,Unidentified pharmacological activity,MK-4118,,,,
42701,Unidentified pharmacological activity,MK-3984,,,,
42703,Unidentified pharmacological activity,MK-1220,,,,
42704,Unidentified pharmacological activity,MK-6186,,,,
42706,Unidentified pharmacological activity,MK-7288,,,,
42707,Unidentified pharmacological activity,MK-5046,,,,
42717,Unidentified pharmacological activity,"cardiotoxin, Celtic",,,,
42760,Unidentified pharmacological activity,SPN-802,,,,
